DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,PRECIP_TOTAL_DAY_MM,CLOUDCOVER_AVG_PERCENT,SUNHOUR,conso_elec_1
2025-01-01,12,9,40,0.0,42.875,6,41.98685661204493
2025-01-02,12,5,47,4.2,87.0,2,43.391637074846784
2025-01-03,5,3,22,0.0,72.0,5,71.33951320527464
2025-01-04,12,3,36,3.4,100.0,1,53.005937339476915
2025-01-05,12,12,37,3.4,96.875,1,36.13363251352366
2025-01-06,12,8,45,6.0,88.625,4,40.040038476508364
2025-01-07,9,6,23,1.2,68.625,5,60.21190664063843
2025-01-08,12,7,45,8.9,98.125,1,45.22322586244222
2025-01-09,12,7,32,0.6,92.125,3,40.0282075790732
2025-01-10,13,6,40,0.8,89.0,2,42.17024017434386
2025-01-11,6,4,12,0.0,60.625,9,60.08046853528149
2025-01-12,6,0,12,0.0,5.5,9,63.87961065107928
2025-01-13,6,-1,17,0.0,15.375,9,69.64534344664904
2025-01-14,6,-1,13,0.0,30.125,8,54.98969433632698
2025-01-15,8,1,12,0.0,22.625,7,49.6504930049218
2025-01-16,8,2,18,0.0,25.25,9,55.682503577478265
2025-01-17,8,2,14,0.0,5.0,9,53.0242963900269
2025-01-18,7,0,10,0.0,0.0,9,66.01118292860976
2025-01-19,8,2,12,0.0,17.5,9,53.642657954424855
2025-01-20,10,1,19,0.0,22.875,7,46.373560012789426
2025-01-21,9,3,19,0.5,51.5,6,63.06106822906855
2025-01-22,11,6,23,1.8,91.75,1,44.96142901776194
2025-01-23,10,4,35,0.2,61.75,4,51.344393843908406
2025-01-24,12,10,45,2.7,88.875,2,33.44348207376752
2025-01-25,11,7,13,1.9,61.5,2,42.55027773963668
2025-01-26,12,6,59,2.0,67.5,2,43.47696713575242
2025-01-27,10,8,44,2.6,71.625,5,41.59033018611518
2025-01-28,10,8,48,1.1,78.25,3,48.76578068622466
2025-01-29,10,8,44,4.0,88.625,1,44.17699815738161
2025-01-30,9,4,35,2.6,79.0,8,52.4248537511163
2025-01-31,10,4,28,0.6,40.125,4,47.931296277630075
2025-02-01,8,2,15,0.0,54.375,3,69.92844128860273
2025-02-02,8,1,14,0.0,1.375,10,59.9190166515724
2025-02-03,9,2,7,0.0,0.0,10,50.07681879784696
2025-02-04,11,5,22,0.1,32.5,10,50.86596108688499
2025-02-05,11,5,17,0.2,46.375,10,41.2620348451362
2025-02-06,9,4,25,0.0,32.375,10,55.12786341302568
2025-02-07,3,1,21,0.2,85.25,1,60.30247407090169
2025-02-08,6,2,26,3.3,100.0,1,56.3667906821602
2025-02-09,7,5,19,0.5,85.125,1,60.16148129162783
2025-02-10,7,4,15,1.0,92.5,2,64.43079947997246
2025-02-11,9,1,18,0.0,56.125,4,57.97679920278283
