timestamp,machine_id,machine_type,vibration_mm_s,temperature_c,pressure_bar,spindle_current_a,acoustic_db,rpm,is_peak
2026-01-01 00:00:00,M01,cnc_lathe,2.344,55.0689,7.9133,10.9028,68.7929,1444.673,0
2026-01-01 00:05:00,M01,cnc_lathe,2.7338,55.3757,8.0389,11.1189,68.9898,1454.3446,0
2026-01-01 00:10:00,M01,cnc_lathe,2.8809,55.0391,8.0529,11.049,67.2138,1453.7587,0
2026-01-01 00:15:00,M01,cnc_lathe,2.5605,55.4474,8.1368,10.9734,68.0942,1441.3749,0
2026-01-01 00:20:00,M01,cnc_lathe,2.7633,55.2595,8.1329,11.002,69.3665,1462.4608,0
2026-01-01 00:25:00,M01,cnc_lathe,3.0733,55.3985,8.0452,11.0266,68.8733,1453.5876,0
2026-01-01 00:30:00,M01,cnc_lathe,3.09,55.8162,7.9669,11.0241,68.7547,1446.3103,0
2026-01-01 00:35:00,M01,cnc_lathe,3.2043,54.9137,8.0514,11.6858,68.5644,1465.5583,0
2026-01-01 00:40:00,M01,cnc_lathe,3.1327,55.2419,8.1044,11.3166,68.5448,1461.8963,0
2026-01-01 00:45:00,M01,cnc_lathe,3.4299,55.2601,8.0807,11.4602,69.1097,1447.6091,0
2026-01-01 00:50:00,M01,cnc_lathe,3.4344,55.0439,8.0601,11.2086,68.8233,1472.768,0
2026-01-01 00:55:00,M01,cnc_lathe,3.3297,55.7038,8.1357,11.2905,69.0595,1464.6355,0
2026-01-01 01:00:00,M01,cnc_lathe,3.473,56.2823,8.0838,11.2037,69.2306,1460.0868,0
2026-01-01 01:05:00,M01,cnc_lathe,3.3408,55.9974,8.082,10.8322,68.784,1473.681,0
2026-01-01 01:10:00,M01,cnc_lathe,3.0919,56.2417,8.1649,11.1003,69.7108,1463.0112,0
2026-01-01 01:15:00,M01,cnc_lathe,3.2108,56.627,8.115,11.0242,71.4542,1462.2753,0
2026-01-01 01:20:00,M01,cnc_lathe,2.9323,56.7817,8.1734,10.944,68.2424,1457.9656,0
2026-01-01 01:25:00,M01,cnc_lathe,3.1164,56.3619,8.1818,11.1594,69.7811,1468.6346,0
2026-01-01 01:30:00,M01,cnc_lathe,2.8756,56.9265,8.0743,11.665,69.0859,1468.5075,0
2026-01-01 01:35:00,M01,cnc_lathe,2.7461,56.5493,8.1319,11.3896,70.0815,1465.509,0
2026-01-01 01:40:00,M01,cnc_lathe,2.5571,56.2858,8.2898,11.652,69.7646,1459.7498,0
2026-01-01 01:45:00,M01,cnc_lathe,2.7254,56.43,8.0855,11.4686,70.3153,1467.7677,0
2026-01-01 01:50:00,M01,cnc_lathe,2.4016,56.1763,8.0121,11.5324,70.6499,1466.8081,0
2026-01-01 01:55:00,M01,cnc_lathe,2.2459,56.4373,8.0349,11.1823,70.0019,1457.3157,0
2026-01-01 02:00:00,M01,cnc_lathe,2.1481,56.6735,8.188,11.4512,70.6945,1456.8041,0
2026-01-01 02:05:00,M01,cnc_lathe,2.1792,57.1279,8.1892,11.4734,68.2908,1473.6723,0
2026-01-01 02:10:00,M01,cnc_lathe,2.0627,57.4936,8.1778,11.1911,71.0696,1448.8852,0
2026-01-01 02:15:00,M01,cnc_lathe,1.9904,56.4492,8.2842,11.3948,70.2379,1471.8687,0
2026-01-01 02:20:00,M01,cnc_lathe,1.9278,57.1089,7.9724,11.3704,70.7435,1466.9013,0
2026-01-01 02:25:00,M01,cnc_lathe,2.1345,56.6425,8.2165,11.1195,69.1433,1481.6672,0
2026-01-01 02:30:00,M01,cnc_lathe,1.7191,57.2048,8.3077,10.9754,69.4185,1467.7029,0
2026-01-01 02:35:00,M01,cnc_lathe,1.6874,57.0215,8.0899,10.9322,70.0994,1477.3496,0
2026-01-01 02:40:00,M01,cnc_lathe,1.6442,56.4518,8.1465,11.1541,69.9771,1469.2945,0
2026-01-01 02:45:00,M01,cnc_lathe,1.8785,57.4395,8.1128,11.1689,70.1735,1473.7486,0
2026-01-01 02:50:00,M01,cnc_lathe,1.9926,56.9214,8.0972,10.911,70.7155,1479.0743,0
2026-01-01 02:55:00,M01,cnc_lathe,1.8601,56.9614,8.1378,11.0402,68.6962,1469.7919,0
2026-01-01 03:00:00,M01,cnc_lathe,1.8205,56.7856,8.2727,11.1141,70.5838,1481.7489,0
2026-01-01 03:05:00,M01,cnc_lathe,1.9062,56.9393,8.2997,11.0888,69.873,1466.082,0
2026-01-01 03:10:00,M01,cnc_lathe,2.2229,57.3229,8.1196,11.2409,69.6844,1476.6141,0
2026-01-01 03:15:00,M01,cnc_lathe,2.3424,57.1084,8.2922,11.1519,68.7522,1481.8348,0
2026-01-01 03:20:00,M01,cnc_lathe,2.4257,57.2877,8.1357,10.6629,70.0842,1479.9005,0
2026-01-01 03:25:00,M01,cnc_lathe,2.3629,57.294,8.2658,11.1677,67.9875,1490.0883,0
2026-01-01 03:30:00,M01,cnc_lathe,2.6188,57.6209,8.1104,10.6938,70.0719,1468.7555,0
2026-01-01 03:35:00,M01,cnc_lathe,2.7227,57.0267,8.1204,10.9795,68.5098,1463.9059,0
2026-01-01 03:40:00,M01,cnc_lathe,2.8566,56.6145,8.1311,10.7565,69.5237,1467.0301,0
2026-01-01 03:45:00,M01,cnc_lathe,3.0678,57.4865,8.3479,10.6347,69.3308,1480.2835,0
2026-01-01 03:50:00,M01,cnc_lathe,3.0762,56.9753,8.1532,10.332,70.1569,1478.9682,0
2026-01-01 03:55:00,M01,cnc_lathe,3.24,57.4567,8.0201,10.638,69.1336,1475.7572,0
2026-01-01 04:00:00,M01,cnc_lathe,3.2316,57.173,8.1456,10.3417,68.6897,1465.8794,0
2026-01-01 04:05:00,M01,cnc_lathe,3.3342,56.9622,8.0306,10.8309,68.7347,1480.8916,0
2026-01-01 04:10:00,M01,cnc_lathe,3.4394,57.0965,8.0118,10.9275,69.891,1464.8226,0
2026-01-01 04:15:00,M01,cnc_lathe,3.1634,57.6209,8.1152,10.4542,69.2834,1483.7253,0
2026-01-01 04:20:00,M01,cnc_lathe,3.3538,57.6258,8.0366,10.6665,68.5435,1497.1169,0
2026-01-01 04:25:00,M01,cnc_lathe,3.3332,56.8814,8.0482,10.4564,68.5512,1476.9632,0
2026-01-01 04:30:00,M01,cnc_lathe,3.2921,56.8689,8.019,10.4743,67.521,1478.4413,0
2026-01-01 04:35:00,M01,cnc_lathe,3.3134,57.1427,8.0371,10.7564,68.7896,1469.5494,0
2026-01-01 04:40:00,M01,cnc_lathe,3.5291,56.421,8.0366,10.5984,67.184,1458.6979,0
2026-01-01 04:45:00,M01,cnc_lathe,3.1096,56.7823,7.8405,10.9616,68.8391,1468.0169,0
2026-01-01 04:50:00,M01,cnc_lathe,3.3054,56.6034,8.0419,10.5277,68.2991,1463.7267,0
2026-01-01 04:55:00,M01,cnc_lathe,2.8162,56.667,7.9036,10.8373,69.7755,1460.4977,0
2026-01-01 05:00:00,M01,cnc_lathe,2.9169,56.2083,7.8607,10.6731,67.2299,1485.4295,0
2026-01-01 05:05:00,M01,cnc_lathe,2.8822,55.8848,7.9658,10.8315,67.8235,1473.3841,0
2026-01-01 05:10:00,M01,cnc_lathe,2.8312,55.6552,7.972,10.6042,69.0497,1473.7634,0
2026-01-01 05:15:00,M01,cnc_lathe,2.7327,55.9277,7.9052,10.7072,68.5211,1467.7532,0
2026-01-01 05:20:00,M01,cnc_lathe,2.6278,56.0951,8.023,10.7198,67.0968,1468.3173,0
2026-01-01 05:25:00,M01,cnc_lathe,2.3419,56.0887,7.8456,10.6034,67.6391,1476.8675,0
2026-01-01 05:30:00,M01,cnc_lathe,2.2155,56.8039,7.9174,10.9324,67.3834,1468.3199,0
2026-01-01 05:35:00,M01,cnc_lathe,2.312,56.4467,7.9007,10.961,67.4806,1472.229,0
2026-01-01 05:40:00,M01,cnc_lathe,2.0632,55.6558,7.9419,10.9819,66.6975,1465.7984,0
