#### EXPORT DONNEES METEO POUR "NANTES" (LAT/LON: 47.218371/-1.553621)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2024-01-01,12,10,38,10,11,11,4.7,84,9.75,1013,96.75,12,11,7,176,353,296,0,3,1,météo défavorable,17:27:00,08:53:00,10
2024-01-02,13,12,62,13,13,13,7.5,92,8.375,1007,93.375,13,12,9,296,296,176,0,3,1,météo défavorable,17:28:00,08:53:00,12
2024-01-03,13,11,46,12,13,11,0.5,83,9.875,1010,71.75,13,9,8,176,176,176,0,4,3,météo défavorable,17:29:00,08:53:00,12
2024-01-04,12,9,44,11,12,10,1.8,88,9.875,1011,91.5,12,10,8,176,176,122,0,3,1,météo défavorable,17:30:00,08:53:00,10
2024-01-05,9,5,13,7,8,7,1.4,95,9,1009,65.75,9,7,3,353,176,119,0,2,5,météo très défavorable,17:31:00,08:53:00,8
2024-01-06,9,4,19,6,8,6,0.1,91,10,1021,36.25,9,5,1,176,113,113,0,3,9,météo très défavorable,17:32:00,08:52:00,5
2024-01-07,7,4,24,6,6,4,0,69,10,1027,59.625,7,2,2,122,119,113,0,3,7,météo très défavorable,17:33:00,08:52:00,5
2024-01-08,5,-2,26,1,1,0,0.1,85,10,1028,25.625,5,3,-7,116,113,113,0,1,9,météo très défavorable,17:34:00,08:52:00,5
2024-01-09,2,-3,16,-3,0,1,0,77,10,1027,30.625,2,0,-8,113,113,122,0,2,6,météo très défavorable,17:35:00,08:52:00,-3
2024-01-10,1,-3,12,-3,-0,-0,0,85,10,1025,42.125,1,0,-7,116,119,113,0,2,9,météo très défavorable,17:36:00,08:51:00,-3
2024-01-11,6,-3,23,-3,2,3,0.2,86,9,1031,40.625,6,0,-8,113,266,116,0,2,4,météo très défavorable,17:38:00,08:51:00,-3
2024-01-12,6,-2,22,-1,3,2,0,94,10,1032,3,6,1,-7,113,113,113,0,2,9,météo très défavorable,17:39:00,08:50:00,-2
2024-01-13,5,-1,15,-1,3,2,0,90,10,1029,28.375,5,0,-6,113,122,113,0,2,6,météo très défavorable,17:40:00,08:50:00,-1
2024-01-14,5,2,8,2,4,4,0,71,10,1021,67.5,5,0,-0,116,119,122,0,2,7,météo très défavorable,17:41:00,08:49:00,2
2024-01-15,6,0,18,3,6,3,0.5,91,8,1016,52.25,6,3,0,122,113,113,0,1,8,météo très défavorable,17:43:00,08:49:00,3
2024-01-16,4,0,18,-0,3,3,1.4,88,8.875,1016,53.375,4,2,-5,116,116,266,0,2,5,météo très défavorable,17:44:00,08:48:00,0
2024-01-17,13,6,42,12,13,12,4.9,97,6.75,995,99.75,13,12,9,296,176,176,0,3,1,météo défavorable,17:46:00,08:47:00,13
2024-01-18,4,1,35,4,4,2,0.4,92,10,1017,52.25,4,4,-2,176,113,113,0,1,8,météo très défavorable,17:47:00,08:47:00,3
2024-01-19,5,0,15,-0,4,3,0,72,10,1027,0,5,0,-5,113,113,113,0,2,9,météo très défavorable,17:48:00,08:46:00,0
2024-01-20,5,-1,14,-1,3,3,0,76,10,1029,30.25,5,0,-5,113,113,116,0,2,7,météo très défavorable,17:50:00,08:45:00,-1
2024-01-21,12,7,32,10,12,11,0.9,96,9,1025,74.125,12,11,7,176,116,176,0,4,5,météo défavorable,17:51:00,08:44:00,8
2024-01-22,13,9,48,13,12,10,2.6,95,9,1032,60.875,13,12,8,296,176,113,0,3,9,météo correcte,17:53:00,08:43:00,13
2024-01-23,13,9,31,10,12,12,0,95,10,1032,70,13,12,8,116,122,119,0,3,2,météo défavorable,17:54:00,08:42:00,10
2024-01-24,13,10,24,12,12,12,0.2,97,8.75,1035,86.75,13,12,10,176,176,176,0,3,1,météo défavorable,17:55:00,08:41:00,12
2024-01-25,12,11,25,11,12,12,0.2,95,10,1033,90,12,11,10,122,176,119,0,3,1,météo défavorable,17:57:00,08:40:00,11
